#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z
2.000000e-10	0.0007369870435136997	-0.0004133411394667279	0.9985316313556896	0	0	7.853981632682556e-07
1.002000e-07	-0.009702768177342457	0.0190842733567782	0.9953249529320625	0	0	0.00039346823387238365
2.002000e-07	-0.001498594903760462	0.023778557717714158	0.9946553511638552	0	0	0.0007860539871823633
3.002000e-07	-0.00410928975419567	0.0280981209225475	0.9941719088842323	0	0	0.0011784457934330109
4.002000e-07	-0.004703264186472547	0.02959513821823866	0.9921369635221755	0	0	0.0015705468358176112
5.002000e-07	-0.00011240352083594822	0.011216740681082731	0.9908960680362427	0	0	0.0019622603692710707
6.002000e-07	-0.010073993603711823	0.008246519538597908	0.992333467160807	0	0	0.002353489744340345
7.002000e-07	-0.013469628249277214	0.01842219989999331	0.9887402128592409	0	0	0.0027441384310312256
8.002000e-07	0.01282876547957453	0.008040438379250246	0.9902414149479296	0	0	0.0031341100426256745
9.002000e-07	-0.01070641913649117	0.0036679130721420008	0.9898384150794812	0	0	0.003523308359463799
1.000200e-06	-0.013290029291895029	0.019192836818063927	0.9880408178512555	0	0	0.003911637352684623
1.100200e-06	0.008408456648808824	0.007842583823972404	0.9887136761976709	0	0	0.004299001207919756
1.200200e-06	0.00577780120056178	0.014590415954835458	0.9892452754993717	0	0	0.004685304348934171
1.300200e-06	0.008182135269219706	0.012026032134751057	0.9900610629303285	0	0	0.0050704514612082
1.400200e-06	0.010225461042630989	-0.003907683066605734	0.9881291132133047	0	0	0.00545434751545497
1.500200e-06	0.0057508356085978285	-0.001014034552751815	0.986754131116556	0	0	0.005836897791067456
1.600200e-06	0.013145200844454486	-0.012756631155669503	0.9860684245634168	0	0	0.0062180078994893695
1.700200e-06	0.009544532100809779	0.0009219580708761377	0.98719247424845	0	0	0.006597583807504137
1.800200e-06	-0.012050525285951245	-0.00494563423404229	0.9888294674004386	0	0	0.006975531860436164
1.900200e-06	-0.006510469317398148	0.0059961043789171775	0.9870316239533398	0	0	0.007351758805258755
2.000200e-06	0.0034047953281414987	0.010384692023517404	0.9880080229028771	0	0	0.007726171813602874
2.100200e-06	0.003525291306223738	-0.0011363786505010076	0.9883911768490996	0	0	0.008098678504661179
2.200200e-06	-0.009787232731541792	0.01261197533889884	0.9880631073337053	0	0	0.008469186967981586
2.300200e-06	-0.014978972748839255	-0.003097409519104882	0.9896673587129885	0	0	0.008837605786144807
2.400200e-06	4.619520633518818e-05	-0.012896551253611431	0.9893548612203944	0	0	0.009203844057320233
2.500200e-06	0.004216747809403218	0.007747294650846546	0.9906732431643185	0	0	0.009567811417694588
2.600200e-06	0.0037176216497238172	0.013628374676323184	0.9896988933737523	0	0	0.009929418063767861
2.700200e-06	-0.003692504438229701	0.014856498507785875	0.9910799987623088	0	0	0.010288574774510971
2.800200e-06	0.011119815828922545	0.006231815895735951	0.9907822063851088	0	0	0.010645192933379719
2.900200e-06	-0.00030181358359244727	-0.003638932007516045	0.9915180974470418	0	0	0.010999184550179597
3.000200e-06	-0.001548789409567382	0.014018953842213215	0.9921692503658082	0	0	0.01135046228277605
3.100200e-06	0.006238066759587899	0.011272022263722217	0.991794091847547	0	0	0.011698939458644836
3.200200e-06	-0.003573703374631005	7.321416209244311e-05	0.991802240059578	0	0	0.012044530096257194
3.300200e-06	0.01537872303303434	0.007194789649009964	0.9917796774806957	0	0	0.012387148926294472
3.400200e-06	0.01339510353373912	0.002720549386180347	0.9930622996252978	0	0	0.012726711412687075
3.500200e-06	0.008529438069198546	0.0059852167071920625	0.9923881017429123	0	0	0.013063133773472466
3.600200e-06	-0.007724104330094119	0.007725946411106197	0.9915491701406698	0	0	0.013396333001467121
