#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z
5.000000e-10	0.8342473158110234	-0.009184825341430707	-0.015633309004509162	1.963495406474983e-06	0	0
1.010000e-07	0.7752374421458172	0.041123138033363184	-0.021228607188572363	0.0003966094342887129	0	0
2.015000e-07	0.7335405178429926	0.036054765281779574	0.05317480582218504	0.0007911565347271468	0	0
3.020000e-07	0.7302821173521952	0.004153291375071782	0.019203273220801252	0.0011855064722290792	0	0
4.025000e-07	0.7220781537984469	-0.03367703049583184	-0.032911403237715825	0.0015795609714365161	0	0
5.030000e-07	0.7277644024578522	0.008222000967235351	-0.02477309341486916	0.001973221830617214	0	0
6.035000e-07	0.7329271698649179	0.014729633073860597	0.0069289918402077755	0.0023663909461373723	0	0
7.040000e-07	0.7231001283041252	-0.001763677834758877	-0.0037510069829448443	0.0027589703369098415	0	0
8.045000e-07	0.6895245410717038	0.05439621150512962	-0.0020338853982170683	0.0031508621688119266	0	0
9.050000e-07	0.7024369599580572	0.028522763947142846	-0.04217605715708157	0.0035419687790664484	0	0
1.005500e-06	0.7094699801429791	0.026965474775767675	0.00027405211635314684	0.00393219270058014	0	0
1.106000e-06	0.6823855569798529	0.06326614510467053	0.012423935931164145	0.004321436686233279	0	0
1.206500e-06	0.688541163342019	0.03233838072175529	0.0322486753382555	0.0047096037331144855	0	0
1.307000e-06	0.6892029249594815	0.028215635181907475	-0.022516700890260286	0.005096597106694687	0	0
1.407500e-06	0.6924527888249804	0.025084782902134905	0.025258241689215043	0.005482320364934173	0	0
1.508000e-06	0.6925102837595037	0.004640414198246198	-0.006654953644013156	0.005866677382316783	0	0
1.608500e-06	0.6883650626801321	0.014897800554030236	-0.015805864768104822	0.00624957237380519	0	0
1.709000e-06	0.659752413242623	-0.0023247733886651452	-0.0069517564246019846	0.006630909918711358	0	0
1.809500e-06	0.6721375956270449	-0.01746546634680931	0.025309830314357795	0.007010594984476182	0	0
1.910000e-06	0.6960373961688907	0.012748601824495812	0.03723153635699397	0.007388532950352406	0	0
2.010500e-06	0.6897847658480406	0.023878508162281237	0.014653430400926294	0.007764629630984782	0	0
2.111000e-06	0.6840980176531786	-0.0028039892553898857	0.02250430758835957	0.008138791299882308	0	0
2.211500e-06	0.6717502176709658	0.0257635941752804	0.0014320574878286647	0.0085109247127752	0	0
2.312000e-06	0.6502007228824782	0.00921821291989586	-0.001511837006510556	0.008880937130852326	0	0
2.412500e-06	0.6529546301698357	-0.003661752714882197	0.002286510361192391	0.009248736343872499	0	0
2.513000e-06	0.6636089622062961	0.02434284128390634	0.022066397875141627	0.009614230693144044	0	0
2.613500e-06	0.6733470910037318	-0.0017590990100129753	0.039496868569665805	0.009977329094366945	0	0
2.714000e-06	0.6575146557130028	0.006648759498402295	0.013774530506893324	0.010337941060331812	0	0
2.814500e-06	0.6665281104892159	0.022091623109232926	-0.01721786492345757	0.010695976723470056	0	0
2.915000e-06	0.6638097033696786	0.026639696641984616	0.05252143843779216	0.011051346858249675	0	0
3.015500e-06	0.6617260596136572	-0.014691740155679988	-0.03116517851561433	0.011403962903410995	0	0
3.116000e-06	0.6911741154293417	-0.0006007637315126704	0.013294953648111093	0.011753736984036896	0	0
3.216500e-06	0.6814998377339482	0.016205784233348668	0.011642961926655067	0.012100581933451992	0	0
3.317000e-06	0.6753446180515574	0.001060629156771125	0.04815014626254629	0.012444411314945295	0	0
3.417500e-06	0.7053511844285267	0.012196472769907615	0.020655279201675383	0.012785139443311	0	0
3.518000e-06	0.6858626773175935	0.010154270271834525	-0.0005219925948047935	0.013122681406201948	0	0
3.618500e-06	0.6727618356964453	0.013469907371532284	-0.05942390225153783	0.013456953085290508	0	0
3.719000e-06	0.7045034329239465	-0.008855808349831799	-0.007447225778502141	0.013787871177231592	0	0
3.819500e-06	0.6963404488279508	-0.006266280856991164	-0.03762155204373718	0.014115353214422558	0	0
3.920000e-06	0.6944140188494157	0.014029801189500167	-0.010378010072539917	0.014439317585555054	0	0
4.020500e-06	0.681956891399627	-0.0095829469988471	0.012730283965699342	0.014759683555952524	0	0
4.121000e-06	0.7149233087022314	-0.022316391068227217	0.026894140627267433	0.015076371287690736	0	0
4.221500e-06	0.6788804216899464	0.028138122630496837	0.03883174409483316	0.015389301859493807	0	0
4.322000e-06	0.7133277352203395	0.01675697311436394	0.012193757828326641	0.01569839728640207	0	0
4.422500e-06	0.6983606101943982	0.017656609408803453	0.005195231626893528	0.01600358053920658	0	0
4.523000e-06	0.7181700847065914	-0.0029807286578461775	0.0038243949933738064	0.016304775563645433	0	0
4.623500e-06	0.682401383592543	0.006820370962669688	0.027532730713619454	0.016601907299357167	0	0
4.724000e-06	0.7061010537040623	0.006085474576436292	0.02379209303425899	0.016894901698586418	0	0
4.824500e-06	0.7062654524352705	0.023407069696542056	0.021172017168138855	0.01718368574463726	0	0
4.925000e-06	0.7072140446090508	-0.03290937667128163	0.001106488660684629	0.017468187470069584	0	0
5.025500e-06	0.702635340716703	0.07271179652149806	-0.05685003604401557	0.017748335974633985	0	0
5.126000e-06	0.7082666659675528	0.013697098369656902	-0.002760674055348028	0.018024061442940744	0	0
5.226500e-06	0.6998754798747517	-0.0014931502306259946	-0.010265698613038141	0.01829529516185836	0	0
5.327000e-06	0.6972150487191682	0.04930400056443938	-0.006799001489180012	0.018561969537637505	0	0
5.427500e-06	0.7210283084549591	0.042085501813088705	0.006523970383419276	0.018824018112755914	0	0
5.528000e-06	0.7258639124697142	0.07200048060231738	-0.0611763351079103	0.019081375582480194	0	0
5.628500e-06	0.6940491507185887	0.05607383557800056	-0.03325437415958134	0.01933397781114031	0	0
5.729000e-06	0.7186270893923428	0.014640380662248762	-0.04483380014988026	0.019581761848112743	0	0
5.829500e-06	0.7002622196829338	-0.003498812070757237	-0.038534505142706225	0.0198246659435083	0	0
5.930000e-06	0.7252013787657315	0.027805056275855205	-0.015936614491527605	0.020062629563560745	0	0
6.030500e-06	0.709678841308886	0.04808240200010082	-0.08777502359954698	0.02029559340571231	0	0
6.131000e-06	0.7225496623410027	0.019985696268474466	-0.03507099839331377	0.020523499413392387	0	0
6.231500e-06	0.6957170158740548	0.036753760587361455	-0.009796998893830301	0.020746290790485736	0	0
6.332000e-06	0.692853981947374	0.05744688812596822	-0.033928195970373304	0.020963912015486568	0	0
6.432500e-06	0.711703994354215	0.006154273384796869	-0.05486788549648268	0.02117630885533494	0	0
6.533000e-06	0.7010850600003983	0.05207454873618201	-0.08190526315391954	0.02138342837893213	0	0
6.633500e-06	0.7050613512689488	0.025501570254501976	-0.0003432030542734585	0.021585218970331506	0	0
6.734000e-06	0.7036634861848292	0.03580781822072214	-0.012222104380314716	0.02178163034160165	0	0
6.834500e-06	0.7034385765676913	0.03897550666337684	-0.06797012704835406	0.021972613545358552	0	0
6.935000e-06	0.7044909719918125	0.02731378314292209	-0.03456789925543009	0.022158120986963698	0	0
7.035500e-06	0.7274890533158812	0.043801136499426296	-0.01699282283019631	0.02233810643638508	0	0
7.136000e-06	0.7147991036231496	0.04121611483805958	-0.004305563329937078	0.022512525039718102	0	0
7.236500e-06	0.7200925299342164	0.057543363270609986	-0.04665958894964601	0.02268133333036354	0	0
7.337000e-06	0.7155619268336972	0.05097414857257144	-0.014986367337830188	0.02284448923985981	0	0
