#position_x	position_y	position_z	radius	msat
0	0	0	4.400615393103609e-08	400000
1e+07	0	0	7.438946462638021e-08	400000
2e+07	0	0	4.594784056060401e-08	400000
3e+07	0	0	4.834529352690738e-08	400000
4e+07	0	0	2.2125243743423658e-08	400000
5e+07	0	0	4.392484706039516e-08	400000
6e+07	0	0	1.1491371030397412e-07	400000
7e+07	0	0	8.14501332163991e-08	400000
8e+07	0	0	3.1942314675991455e-08	400000
9e+07	0	0	7.836855340843436e-08	400000
1e+08	0	0	4.58975283176872e-08	400000
1.1e+08	0	0	8.225296793100119e-08	400000
1.2e+08	0	0	4.900400961124734e-08	400000
1.3e+08	0	0	8.556966909547128e-08	400000
1.4e+08	0	0	3.6117438732981535e-08	400000
1.5e+08	0	0	7.700222482979128e-08	400000
1.6e+08	0	0	2.9156537544209962e-08	400000
1.7e+08	0	0	3.26140373324486e-08	400000
1.8e+08	0	0	1.057872331104318e-07	400000
1.9e+08	0	0	5.4493902799389045e-08	400000
2e+08	0	0	1.0444478611124236e-07	400000
2.1e+08	0	0	1.9655044946991306e-08	400000
2.2e+08	0	0	8.117017270557628e-08	400000
2.3e+08	0	0	2.5635950539009422e-08	400000
2.4e+08	0	0	2.679600063040878e-08	400000
2.5e+08	0	0	7.679289834436628e-08	400000
2.6e+08	0	0	2.836823241562479e-08	400000
2.7e+08	0	0	1.9354083955667704e-08	400000
2.8e+08	0	0	3.320386826583488e-08	400000
2.9e+08	0	0	3.5917689964629424e-08	400000
3e+08	0	0	3.55401131487889e-08	400000
3.1e+08	0	0	7.45877066142346e-08	400000
3.2e+08	0	0	6.828979219958394e-08	400000
3.3e+08	0	0	7.751207555747428e-08	400000
3.4e+08	0	0	1.670803632915015e-08	400000
3.5e+08	0	0	3.551426380998047e-08	400000
3.6e+08	0	0	2.5422466490179443e-08	400000
3.7e+08	0	0	2.0781479319699797e-08	400000
3.8e+08	0	0	5.377153342383714e-08	400000
3.9e+08	0	0	3.7305355077795827e-08	400000
4e+08	0	0	6.944186547143624e-08	400000
4.1e+08	0	0	8.044528157959533e-08	400000
4.2e+08	0	0	4.914492008387068e-08	400000
4.3e+08	0	0	8.689963573415895e-08	400000
4.4e+08	0	0	4.799906067509011e-08	400000
4.5e+08	0	0	3.036896978124142e-08	400000
4.6e+08	0	0	4.936047426178043e-08	400000
4.7e+08	0	0	3.950388378160934e-08	400000
4.8e+08	0	0	7.49876374424464e-08	400000
4.9e+08	0	0	8.393840145606764e-08	400000
5e+08	0	0	7.091265553573432e-08	400000
5.1e+08	0	0	9.388375406614147e-08	400000
5.2e+08	0	0	5.687566862883121e-08	400000
5.3e+08	0	0	3.133421274743292e-08	400000
5.4e+08	0	0	5.433522367968078e-08	400000
5.5e+08	0	0	3.103302534230755e-08	400000
5.6e+08	0	0	3.0285044223603745e-08	400000
5.7e+08	0	0	2.717575179930174e-08	400000
5.8e+08	0	0	4.8101476230859744e-08	400000
5.9e+08	0	0	2.504203846183687e-08	400000
6e+08	0	0	3.401914782073305e-08	400000
6.1e+08	0	0	1.9373453156541118e-08	400000
6.2e+08	0	0	3.292433907986823e-08	400000
6.3e+08	0	0	6.406336900085907e-08	400000
6.4e+08	0	0	4.0770521018528996e-08	400000
6.5e+08	0	0	2.8010896979240115e-08	400000
6.6e+08	0	0	4.2940482710918155e-08	400000
6.7e+08	0	0	2.020584313787007e-08	400000
6.8e+08	0	0	8.379420000826103e-08	400000
6.9e+08	0	0	3.3766141914548515e-08	400000
7e+08	0	0	7.07272133882227e-08	400000
7.1e+08	0	0	6.412181080156822e-08	400000
7.2e+08	0	0	3.5563785248387403e-08	400000
7.3e+08	0	0	1.457870923428421e-07	400000
7.4e+08	0	0	4.822284115895359e-08	400000
7.5e+08	0	0	4.316099062044755e-08	400000
7.6e+08	0	0	5.425252639545874e-08	400000
7.7e+08	0	0	6.7288628114703e-08	400000
7.8e+08	0	0	9.11433308671385e-08	400000
7.9e+08	0	0	1.2026712476723612e-07	400000
8e+08	0	0	1.0038527497275369e-07	400000
8.1e+08	0	0	4.5800089350457683e-08	400000
8.2e+08	0	0	7.253706130534141e-08	400000
8.3e+08	0	0	8.06424978808777e-08	400000
8.4e+08	0	0	5.786806917106799e-08	400000
8.5e+08	0	0	2.9021314204320943e-08	400000
8.6e+08	0	0	3.8127087785599526e-08	400000
8.7e+08	0	0	7.815919393708474e-08	400000
8.8e+08	0	0	3.7619302979917386e-08	400000
8.9e+08	0	0	5.999525888764963e-08	400000
9e+08	0	0	3.84536728108764e-08	400000
9.1e+08	0	0	7.447155080436566e-08	400000
9.2e+08	0	0	1.0805645762217896e-07	400000
9.3e+08	0	0	7.716993605750941e-08	400000
9.4e+08	0	0	5.2972639573062564e-08	400000
9.5e+08	0	0	3.062791106552593e-08	400000
9.6e+08	0	0	1.0184169771558945e-07	400000
9.7e+08	0	0	2.1142972248375336e-08	400000
9.8e+08	0	0	2.8338356059438346e-08	400000
9.9e+08	0	0	2.125050578510169e-08	400000
1e+09	0	0	1.948555187600136e-08	400000
1.01e+09	0	0	3.130257098944251e-08	400000
1.02e+09	0	0	2.6291246691350223e-08	400000
1.03e+09	0	0	3.151891915773989e-08	400000
1.04e+09	0	0	1.4630715833564916e-08	400000
1.05e+09	0	0	6.414566452663093e-08	400000
1.06e+09	0	0	3.3764977622669425e-08	400000
1.07e+09	0	0	4.099975433454312e-08	400000
1.08e+09	0	0	2.8578792029663974e-08	400000
1.09e+09	0	0	5.617127670978712e-08	400000
1.1e+09	0	0	4.203978162937703e-08	400000
1.11e+09	0	0	3.081270982337972e-08	400000
1.12e+09	0	0	2.4026097053900903e-08	400000
1.13e+09	0	0	3.022785023035844e-08	400000
1.14e+09	0	0	2.0637770794711205e-08	400000
1.15e+09	0	0	6.04271337904105e-08	400000
1.16e+09	0	0	2.5992760452131824e-08	400000
1.17e+09	0	0	4.9266829334157464e-08	400000
1.18e+09	0	0	8.675138925155161e-08	400000
1.19e+09	0	0	3.67624855780204e-08	400000
1.2e+09	0	0	2.9776282745035796e-08	400000
1.21e+09	0	0	2.5406265185684615e-08	400000
1.22e+09	0	0	3.3718031557364406e-08	400000
1.23e+09	0	0	6.45669919739231e-08	400000
1.24e+09	0	0	4.3943712480857554e-08	400000
1.25e+09	0	0	5.447229925597034e-08	400000
1.26e+09	0	0	6.756452207069277e-08	400000
1.27e+09	0	0	3.441045845720575e-08	400000
1.28e+09	0	0	9.123303415800315e-08	400000
1.29e+09	0	0	3.8378786882250665e-08	400000
1.3e+09	0	0	8.480426437257852e-08	400000
1.31e+09	0	0	1.362113791615091e-07	400000
1.32e+09	0	0	3.0873807580571295e-08	400000
1.33e+09	0	0	6.997967396658809e-08	400000
1.34e+09	0	0	1.0601752099816394e-07	400000
1.35e+09	0	0	6.545384374537049e-08	400000
1.36e+09	0	0	7.154725650305342e-08	400000
1.37e+09	0	0	8.281610033829843e-08	400000
1.38e+09	0	0	2.5145512071701983e-08	400000
1.39e+09	0	0	1.205227893131098e-07	400000
1.4e+09	0	0	3.3461850676783134e-08	400000
1.41e+09	0	0	4.536541892583671e-08	400000
1.42e+09	0	0	8.54363195632816e-08	400000
1.43e+09	0	0	2.286290510149289e-08	400000
1.44e+09	0	0	8.216734468541509e-08	400000
1.45e+09	0	0	2.4052558366682815e-08	400000
1.46e+09	0	0	7.293650522407638e-08	400000
1.47e+09	0	0	2.5186152585816354e-08	400000
1.48e+09	0	0	1.1130259475441287e-07	400000
1.49e+09	0	0	2.969817488170523e-08	400000
1.5e+09	0	0	1.7559345460653372e-08	400000
1.51e+09	0	0	3.496480942184274e-08	400000
1.52e+09	0	0	1.1008717906479094e-07	400000
1.53e+09	0	0	4.183300666138061e-08	400000
1.54e+09	0	0	5.2748539147970396e-08	400000
1.55e+09	0	0	3.873212034701939e-08	400000
1.56e+09	0	0	1.2982867837536772e-07	400000
1.57e+09	0	0	3.475146355749067e-08	400000
1.58e+09	0	0	8.849939515764007e-08	400000
1.59e+09	0	0	6.551264305822689e-08	400000
1.6e+09	0	0	9.559761183803795e-08	400000
1.61e+09	0	0	7.246311628696676e-08	400000
1.62e+09	0	0	3.739979174028241e-08	400000
1.63e+09	0	0	5.7797615754505105e-08	400000
1.64e+09	0	0	4.1302427507476234e-08	400000
1.65e+09	0	0	4.389151579275821e-08	400000
1.66e+09	0	0	6.169225175050725e-08	400000
1.67e+09	0	0	3.516719362242574e-08	400000
1.68e+09	0	0	3.0601845444010884e-08	400000
1.69e+09	0	0	3.402188940205979e-08	400000
1.7e+09	0	0	7.742581419110483e-08	400000
1.71e+09	0	0	5.678221373795675e-08	400000
1.72e+09	0	0	3.082761334818118e-08	400000
1.73e+09	0	0	2.2405351266552375e-08	400000
1.74e+09	0	0	1.0362179048402715e-07	400000
1.75e+09	0	0	1.0162906091014808e-07	400000
1.76e+09	0	0	8.468804239499737e-08	400000
1.77e+09	0	0	6.436808464836367e-08	400000
1.78e+09	0	0	1.219412220969149e-07	400000
1.79e+09	0	0	5.340843520771136e-08	400000
1.8e+09	0	0	1.9392846851782818e-08	400000
1.81e+09	0	0	3.127558313768113e-08	400000
1.82e+09	0	0	8.960075129653409e-08	400000
1.83e+09	0	0	3.3109040092440645e-08	400000
1.84e+09	0	0	1.1774054599295892e-07	400000
1.85e+09	0	0	3.694124618657021e-08	400000
1.86e+09	0	0	7.348987406530387e-08	400000
1.87e+09	0	0	4.208498905059681e-08	400000
1.88e+09	0	0	4.926387272323986e-08	400000
1.89e+09	0	0	2.8212499578278365e-08	400000
1.9e+09	0	0	7.119508450810571e-08	400000
1.91e+09	0	0	5.004621786999375e-08	400000
1.92e+09	0	0	3.598781193036923e-08	400000
1.93e+09	0	0	4.492592603243617e-08	400000
1.94e+09	0	0	2.1745481198944218e-08	400000
1.95e+09	0	0	4.600317230764939e-08	400000
1.96e+09	0	0	4.242475632423174e-08	400000
1.97e+09	0	0	1.8593811766861398e-08	400000
1.98e+09	0	0	6.627853711940573e-08	400000
1.99e+09	0	0	1.641689244067195e-08	400000
2e+09	0	0	1.0142371293973893e-07	400000
2.01e+09	0	0	6.969879361972713e-08	400000
2.02e+09	0	0	6.904876927817009e-08	400000
2.03e+09	0	0	4.6574612007708e-08	400000
2.04e+09	0	0	2.6284719073850486e-08	400000
2.05e+09	0	0	7.118586346966867e-08	400000
2.06e+09	0	0	1.0413353407866917e-07	400000
2.07e+09	0	0	4.54559295195069e-08	400000
2.08e+09	0	0	1.189460979552646e-07	400000
2.09e+09	0	0	4.434813419430378e-08	400000
2.1e+09	0	0	1.111428662921197e-07	400000
2.11e+09	0	0	1.499240104536821e-08	400000
2.12e+09	0	0	3.786381279594555e-08	400000
2.13e+09	0	0	5.3022990135224014e-08	400000
2.14e+09	0	0	2.972117342258443e-08	400000
2.15e+09	0	0	1.999322584767302e-08	400000
2.16e+09	0	0	2.2137459630640453e-08	400000
2.17e+09	0	0	2.751350616513574e-08	400000
2.18e+09	0	0	2.2977463861587475e-08	400000
2.19e+09	0	0	4.093447616521227e-08	400000
2.2e+09	0	0	2.452627621797634e-08	400000
2.21e+09	0	0	1.0413724404449101e-07	400000
2.22e+09	0	0	3.8127751710374464e-08	400000
