#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9708129211515653	0.15271080703227102	-0.18233939007342204	1.6e-10	1.1342733976162971e-19	-8.921171686090935e-21	1.0652041019050693e-20	1.0843616094987114e-19	-8.528613604972423e-21	1.01833098899691e-20
1.603200e-07	0.9682339411821494	0.23124321615232876	0.00047673329162699254	1.6e-10	1.1312601824221552e-19	-1.3508939732687636e-20	-2.784046981438013e-23	1.0814809855056828e-19	-1.2914498061795553e-20	-2.663378545969582e-23
3.204800e-07	0.962556050932466	0.24097281534262327	-0.004768805941204735	1.6e-10	1.124626418130961e-19	-1.4077298961592626e-20	2.7859648633041754e-22	1.0751388634100926e-19	-1.3457907796525106e-20	2.663205397535628e-22
4.806400e-07	0.9573371942699433	0.253174308868874	-0.002223648829154312	1.6e-10	1.1185287670970593e-19	-1.4790110305558715e-20	1.2991315018538922e-22	1.0693096624186888e-19	-1.413932378182492e-20	1.2417683833785387e-22
6.408000e-07	0.94799729470501	0.27156411165516703	-5.0725727778164756e-06	1.6e-10	1.1076162031019922e-19	-1.5864418156401804e-20	3.0708918823406134e-25	1.0588774017909484e-19	-1.5166360993063387e-20	2.7316449483246014e-25
8.009600e-07	0.9408688892776279	0.27925405373783435	0.0017065592697258877	1.6e-10	1.099287697236395e-19	-1.6313644403772433e-20	-9.968088549538331e-23	1.0509151050160724e-19	-1.5595839718788617e-20	-9.532146929168675e-23
9.611200e-07	0.9362921750275223	0.28271176770527295	-0.007665633706488	1.6e-10	1.093940349238937e-19	-1.651562450802078e-20	4.478408366467898e-22	1.0458031153424677e-19	-1.578896086885885e-20	4.280885127579012e-22
1.121280e-06	0.9257776772033872	0.2969742454860221	-0.011628631088975164	1.6e-10	1.0816554696698405e-19	-1.7348837554489738e-20	6.79339653844924e-22	1.0340588202691794e-19	-1.658547745781839e-20	6.494281432543136e-22
1.281440e-06	0.9138372097583598	0.31824078229045927	-0.009503124323190669	1.6e-10	1.0677044136011161e-19	-1.8591220901295218e-20	5.551918543693366e-22	1.0207218737190859e-19	-1.777315573798659e-20	5.307022050268862e-22
1.441600e-06	0.899638332718151	0.34117584536026696	-0.002023983808691021	1.6e-10	1.0511147930557976e-19	-1.9931056601259586e-20	1.1827151989845678e-22	1.0048622699761261e-19	-1.9054037719412242e-20	1.1300468558013298e-22
1.601760e-06	0.8907572185609429	0.3550675652691509	0.0038813946546827826	1.6e-10	1.0407384066365784e-19	-2.0742593184075126e-20	-2.2671426033605897e-22	9.949423195874948e-20	-1.9829864426260767e-20	-2.1679868380424286e-22
1.761920e-06	0.8828120235919464	0.35370751345738605	0.01060654222176595	1.6e-10	1.0314554012150996e-19	-2.0663144429792126e-20	-6.195727629504635e-22	9.860678720665009e-20	-1.975390454130087e-20	-5.924007785729158e-22
1.922080e-06	0.8690858673421992	0.36967475773293984	0.0184198235826045	1.6e-10	1.0154180845373134e-19	-2.1595943227151575e-20	-1.0760226767916825e-21	9.707362902799882e-20	-2.0645633438350313e-20	-1.0287504983729982e-21
2.082240e-06	0.8563108169708633	0.3826304600086338	0.02352704152246587	1.6e-10	1.0004921106464793e-19	-2.2352794389247064e-20	-1.3743684534284913e-21	9.564669689776823e-20	-2.13691895057191e-20	-1.3139898437058988e-21
2.242400e-06	0.8451223469588205	0.3894680920186199	0.013976571647749033	1.6e-10	9.874197804364517e-20	-2.275223733932864e-20	-8.164418961267541e-22	9.439698708348233e-20	-2.175106116918824e-20	-7.806141285472332e-22
2.402560e-06	0.8296787621028049	0.401805063629144	0.01831394035210362	1.6e-10	9.693755972758506e-20	-2.347297204318385e-20	-1.0698056117842394e-21	9.267202363273062e-20	-2.2440034969692498e-20	-1.0228667837982662e-21
2.562720e-06	0.8187526610489673	0.408312054425153	0.024820105626054512	1.6e-10	9.566101167475977e-20	-2.385310092648912e-20	-1.4498927359580312e-21	9.145159078065285e-20	-2.280343945672647e-20	-1.3862190771458997e-21
2.722880e-06	0.8036588434681682	0.4132749673700208	0.02375328125136334	1.6e-10	9.389747829791545e-20	-2.4143025958115036e-20	-1.3875826068198346e-21	8.976567711930207e-20	-2.3080610812899963e-20	-1.326627249965995e-21
2.883040e-06	0.7949352849518329	0.42401619462394735	0.03441517815165737	1.6e-10	9.287824165103179e-20	-2.4770508728872075e-20	-2.0104344200817826e-21	8.879128649073747e-20	-2.368049405990842e-20	-1.9220768227518165e-21
3.043200e-06	0.7781719167030482	0.44027856802930365	0.03924453731943101	1.6e-10	9.091965071445299e-20	-2.5720541168192314e-20	-2.2925676061907365e-21	8.691888223981309e-20	-2.4588712363492002e-20	-2.1917798471873843e-21
3.203360e-06	0.765204068988788	0.4475205809501291	0.03423787444503289	1.6e-10	8.94045204219055e-20	-2.6143619905222088e-20	-2.000061618541643e-21	8.547042191260628e-20	-2.499315629921351e-20	-1.912188815069039e-21
3.363520e-06	0.75174616174987	0.4490340836313394	0.04255392378845389	1.6e-10	8.783212295487223e-20	-2.623204327940164e-20	-2.4858865491874644e-21	8.396723305307371e-20	-2.5077676509861288e-20	-2.3766134704086885e-21
3.523680e-06	0.7315839039091127	0.4662439812877729	0.04029670902539807	1.6e-10	8.547641098802906e-20	-2.723741905035077e-20	-2.354021607556768e-21	8.171518871334401e-20	-2.6038821535417962e-20	-2.2505534787833714e-21
3.683840e-06	0.715955774489069	0.4741078924735036	0.04033455307711063	1.6e-10	8.365047657543764e-20	-2.769681156092479e-20	-2.356219106427993e-21	7.996956935847128e-20	-2.6478013088860328e-20	-2.2526795262059964e-21
3.844000e-06	0.6930538405175137	0.4980867212641691	0.0457762518759952	1.6e-10	8.097464327387686e-20	-2.909763140773417e-20	-2.6741278523325222e-21	7.741153651542564e-20	-2.781717926535593e-20	-2.5565773224993124e-21
4.004160e-06	0.6852200045340755	0.49454630648232295	0.04358495228575374	1.6e-10	8.005934539649655e-20	-2.88908062864948e-20	-2.5461202787285207e-21	7.653653790396995e-20	-2.7619452368861206e-20	-2.4341922727045783e-21
4.164320e-06	0.6711335912357489	0.5043509598465084	0.04205854571605016	1.6e-10	7.84135114315285e-20	-2.946357681834266e-20	-2.4569339627694537e-21	7.496315050678605e-20	-2.816702856241015e-20	-2.348959986603805e-21
4.324480e-06	0.6594237997258686	0.5047250960783096	0.036529098916526864	1.6e-10	7.704536632920245e-20	-2.948544718619e-20	-2.1339101328391026e-21	7.365521309888239e-20	-2.818791037314092e-20	-2.040151228607811e-21
4.484640e-06	0.6551318602719591	0.5100643031127792	0.0297895722371858	1.6e-10	7.654389938671481e-20	-2.979735406626244e-20	-1.7401779668561112e-21	7.317582665758825e-20	-2.8486097782189086e-20	-1.6637777816011964e-21
4.644800e-06	0.6427845122453063	0.5152032365870419	0.039158786762407805	1.6e-10	7.510128233536539e-20	-3.009755911065155e-20	-2.287534604316949e-21	7.17966591072149e-20	-2.8773102272476516e-20	-2.1870130296105073e-21
4.804960e-06	0.6462359628780746	0.5092985875819823	0.032071469959571754	1.6e-10	7.550453898947324e-20	-2.975263009338515e-20	-1.8735025053473006e-21	7.218217522443803e-20	-2.8443326316563465e-20	-1.7911996485872124e-21
4.965120e-06	0.636728483347707	0.5134719036567008	0.032017313894726764	1.6e-10	7.439370164532469e-20	-2.999642912913429e-20	-1.8703368549404904e-21	7.112023235377412e-20	-2.867639898246168e-20	-1.7881769425929455e-21
5.125280e-06	0.6338131436991027	0.5177075536230553	0.02692833538079459	1.6e-10	7.405308046507959e-20	-3.024387576411601e-20	-1.5730576474919042e-21	7.079460006848328e-20	-2.891294710416861e-20	-1.5039552518619627e-21
5.285440e-06	0.6328583381790971	0.5162650517747447	0.026207664824944403	1.6e-10	7.394152419916499e-20	-3.015959414696939e-20	-1.530953781860706e-21	7.068795111199312e-20	-2.883239782907847e-20	-1.4637101651312762e-21
5.445600e-06	0.6400169101367994	0.5070778266188741	0.030948333506335524	1.6e-10	7.477791905864213e-20	-2.962288174729599e-20	-1.8078851081459195e-21	7.148753173345296e-20	-2.831931443421425e-20	-1.728479461144043e-21
5.605760e-06	0.6259946447977432	0.5113724813090363	0.03212593016276983	1.6e-10	7.313957513873362e-20	-2.987377934902929e-20	-1.876689313922251e-21	6.992131398224942e-20	-2.855915410700084e-20	-1.79423614583976e-21
5.765920e-06	0.6250398275887691	0.5080001311640984	0.04537886911845424	1.6e-10	7.302804172179759e-20	-2.967676689420603e-20	-2.6509018531065764e-21	6.981464091525701e-20	-2.8370818445261305e-20	-2.5343949759922414e-21
5.926080e-06	0.6287638183048201	0.5066215437018549	0.040445997589995335	1.6e-10	7.346314620381935e-20	-2.9596230050166183e-20	-2.3627454798959983e-21	7.023059409412984e-20	-2.829382833254349e-20	-2.258888496235449e-21
6.086240e-06	0.6321706074888063	0.5056480548430808	0.040153749093244685	1.6e-10	7.38611748952339e-20	-2.953937387407442e-20	-2.345686244767221e-21	7.061113095325499e-20	-2.8239447792104127e-20	-2.2425542003550317e-21
6.246400e-06	0.6405739969929016	0.4972070334426103	0.04890351441786617	1.6e-10	7.484299333184552e-20	-2.904626581684755e-20	-2.856841607288237e-21	7.154976976328251e-20	-2.7768027122355534e-20	-2.731207398939229e-21
6.406560e-06	0.6468140478699369	0.4989801278397394	0.0490158910110067	1.6e-10	7.557207626479398e-20	-2.914985531420322e-20	-2.8634082144752778e-21	7.224674959550752e-20	-2.7867044005368186e-20	-2.737481812386374e-21
6.566720e-06	0.6598301394179216	0.48683372858880175	0.055229691799161644	1.6e-10	7.709285366618032e-20	-2.844027931770753e-20	-3.2264000503671173e-21	7.370058876438319e-20	-2.7188689101370447e-20	-3.0845209041512262e-21
6.726880e-06	0.6724635012848423	0.48934168392637073	0.05320765680789103	1.6e-10	7.85689038397399e-20	-2.8586778703450223e-20	-3.1082755953684286e-21	7.511168793317683e-20	-2.732876520193203e-20	-2.9715937738177068e-21
6.887040e-06	0.6757052672902888	0.4840026658413062	0.04190469081261058	1.6e-10	7.894769374607034e-20	-2.8274877337590387e-20	-2.447960223352648e-21	7.547375266688724e-20	-2.7030593547622143e-20	-2.3403540405216292e-21
7.047200e-06	0.6957571720772389	0.47413052731270056	0.04187809299275091	1.6e-10	8.129050320848782e-20	-2.7698161577421656e-20	-2.4464158590335767e-21	7.771347958424998e-20	-2.647925109930568e-20	-2.3388597052072748e-21
