#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z
5.000000e-08	0.7778119948668664	0.036933838744069004	-0.04999665867130779	0.00019634752221778338	0	0
1.500000e-07	0.8184827694654834	0.05073624325595496	-0.025960036637599052	0.0005889941208402538	0	0
2.500000e-07	0.82722638969675	0.05507419887302184	-0.002841416185370377	0.0009814953939767154	0	0
3.500000e-07	0.83328390396437	0.05005328415450027	0.020919515928861994	0.0013737544978111435	0	0
4.500000e-07	0.8355883959900715	0.0352021237469135	0.04046001912605479	0.0017656746482791674	0	0
5.500000e-07	0.8343138935091513	0.013634780631988403	0.05261528310311579	0.0021571591449480836	0	0
6.500000e-07	0.8297224346443488	-0.011272781762590557	0.054259862685892515	0.0025481113948762502	0	0
7.500000e-07	0.823135055238892	-0.03578739876634905	0.04420565642553162	0.0029384349364459396	0	0
8.500000e-07	0.8156251422315884	-0.052978702038322154	0.023461044115349036	0.003328033463163807	0	0
9.500000e-07	0.8092646655819491	-0.05861948284319486	-0.005025117480541101	0.0037168108474230723	0	0
1.050000e-06	0.8056969297332074	-0.04884297455275697	-0.033936157447593596	0.00410467116422157	0	0
1.150000e-06	0.8055237178664454	-0.024008947687369327	-0.05421332720150436	0.00449151871482981	0	0
1.250000e-06	0.8101486111154932	0.008045351117137228	-0.057291662538500585	0.004877258050403202	0	0
1.350000e-06	0.81753741347889	0.036061741808608	-0.04269223437688784	0.005261793995532636	0	0
1.450000e-06	0.8261163988640704	0.05187440100944562	-0.01673326305724617	0.005645031671727588	0	0
1.550000e-06	0.833879113464301	0.052575806857903126	0.01228059602122216	0.006026876520825961	0	0
1.650000e-06	0.839704028020519	0.03802000679216516	0.037648070338935705	0.00640723432832491	0	0
1.750000e-06	0.8418038637619344	0.01291397208702503	0.052427141274857286	0.00678601124662685	0	0
1.850000e-06	0.8403578874746924	-0.016941998621417924	0.052249418606277104	0.0071631138181949515	0	0
1.950000e-06	0.8346318610215625	-0.04484259112851134	0.03646129889337991	0.0075384489986123834	0	0
2.050000e-06	0.8261377536640255	-0.06092440319001086	0.004884063606434195	0.007911924179539644	0	0
2.150000e-06	0.8179567445845681	-0.056474356632550855	-0.033731703541002314	0.008283447211564265	0	0
2.250000e-06	0.8139239265703804	-0.025080341909417866	-0.06406387995317336	0.008652926426937315	0	0
2.350000e-06	0.8165910367935961	0.022976357121513614	-0.06327851277718362	0.009020270662191035	0	0
2.450000e-06	0.8243903229920597	0.054635605392970354	-0.028084540966016	0.009385389280632067	0	0
2.550000e-06	0.8343238532431352	0.054528962946841356	0.012393437914768574	0.009748192194704696	0	0
2.650000e-06	0.8440820233368758	0.03351976927429794	0.04088591281139672	0.010108589888218616	0	0
2.750000e-06	0.8510944741642265	0.003963135105812396	0.05170817889836435	0.010466493438435693	0	0
2.850000e-06	0.8531872117415121	-0.02649812100605789	0.04602887678382883	0.010821814538010338	0	0
2.950000e-06	0.8490213978990836	-0.05095106240273114	0.024161454548304418	0.011174465516778018	0	0
3.050000e-06	0.8396823247464713	-0.06072197834450887	-0.011940567992836599	0.011524359363386548	0	0
3.150000e-06	0.827273698544734	-0.04309836664739492	-0.054327995980244244	0.011871409746764853	0	0
3.250000e-06	0.8181806410297763	0.009848975368525756	-0.07450149411709495	0.012215531037423863	0	0
3.350000e-06	0.8196516080908027	0.06339609142593478	-0.04077646244147951	0.0125566383285843	0	0
3.450000e-06	0.8280696777794305	0.05986758788984235	0.023922813714304686	0.012894647457126174	0	0
3.550000e-06	0.8406235362584221	0.018353651838921688	0.0523506172430474	0.013229475024354754	0	0
3.650000e-06	0.8528321002438276	-0.015081518700150828	0.04948949919335106	0.013561038416577957	0	0
3.750000e-06	0.8623400954417411	-0.03917873071946615	0.0357543261495681	0.01388925582549004	0	0
3.850000e-06	0.8634230751941512	-0.05600798926636377	0.008921501905759499	0.014214046268356584	0	0
3.950000e-06	0.8579181486102716	-0.05739322468083579	-0.027245314087057257	0.01453532960799575	0	0
4.050000e-06	0.8439233342164774	-0.03398554049783287	-0.06487462415457185	0.014853026572550955	0	0
4.150000e-06	0.8282429364983888	0.023315896037319116	-0.08200563046611588	0.015167058775049983	0	0
4.250000e-06	0.8185544462689031	0.085515488097693	-0.03985058850749855	0.015477348732745845	0	0
4.350000e-06	0.8206821418153559	0.08521649054338817	0.04266444664518829	0.01578381988623444	0	0
4.450000e-06	0.8316330645256447	0.022837489855585685	0.0787561918172724	0.016086396618344472	0	0
4.550000e-06	0.8439097133098178	-0.04487082177083462	0.05499652836282021	0.016385004272794847	0	0
4.650000e-06	0.8621014846057389	-0.06730197266281	0.01795692507732713	0.016679569172614993	0	0
4.750000e-06	0.8683594397724471	-0.06668637895564246	-0.019452850560270248	0.01697001863832355	0	0
4.850000e-06	0.8674834312588796	-0.04965323267776147	-0.0497682230602541	0.017256281005860935	0	0
