#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z
0.000000e+00	0.09950371902099912	0.9950371902099882	0	0	0	0
5.979572e-08	0.004931097427586272	0.9998842438286868	9.382756835845634e-05	0.00023481380993466	0	0
1.197400e-07	0.011925872290333768	0.9997985764731196	0.00032019382788782646	0.00047019000240335236	0	0
1.809449e-07	0.01859098568205901	0.9996711346026307	0.0001685259886714212	0.0007104734572197734	0	0
2.425331e-07	0.02682578229323123	0.9994581397797124	0.0003052034303910044	0.0009521948992781417	0	0
3.032137e-07	0.03588751627488978	0.9991416816011222	-0.0008748321841595149	0.0011902672205129023	0	0
3.644435e-07	0.04627276107331345	0.9986797737094194	-0.0005396846756056633	0.0014303847602556024	0	0
4.254642e-07	0.057177186814274285	0.9980770041453303	-0.0007711156107255934	0.0016695506708745722	0	0
4.864904e-07	0.06909365936204442	0.9972899543411613	-0.0006660709489617209	0.001908584428974307	0	0
5.468687e-07	0.08207689970741293	0.996288823103839	-0.000248324844432943	0.002144908142885005	0	0
6.084991e-07	0.09604162428594765	0.9950247230868805	-0.0007385183830905288	0.00238593332928021	0	0
6.691626e-07	0.11062319110324752	0.9934682381782146	-0.00038758188429234287	0.0026229592880726168	0	0
7.304586e-07	0.12616114962397396	0.9916011286087625	-0.0003808486152281029	0.002862214308349015	0	0
7.906014e-07	0.14208767224432822	0.9894077166313432	-0.0006923181209234973	0.003096710355768526	0	0
8.516329e-07	0.15932439053601016	0.9867597497710052	-0.0005207600402445579	0.0033343885877222586	0	0
9.124763e-07	0.1772529389225336	0.9836634769269199	-0.0007985264436809615	0.003571029511953323	0	0
9.727460e-07	0.1954231234256529	0.9802013551977715	-0.001250190176298389	0.0038051175531171226	0	0
1.034354e-06	0.21595561717973769	0.9758669547821051	-0.000982651102478961	0.004044052469813188	0	0
1.095476e-06	0.23556841088057837	0.9713092636620808	-0.001231205642930724	0.004280723469218546	0	0
1.156588e-06	0.2565868009008011	0.9659269805143627	-0.0002794727463964257	0.004516964876556158	0	0
1.217645e-06	0.27767566851541564	0.9600505253457925	-0.00040571637295777	0.004752577655577371	0	0
1.279069e-06	0.2997147619925842	0.9533937148811279	-0.0009443529528911128	0.004989167420943771	0	0
1.340020e-06	0.3220718778805833	0.9460710190860685	-0.00025664072562906615	0.005223475725511145	0	0
1.401106e-06	0.34486080798049745	0.9379674117146706	-0.0007423337203407923	0.005457820874078468	0	0
1.461163e-06	0.36764260552736966	0.9292627909904709	-0.0012090120038093157	0.0056877281287877005	0	0
1.523074e-06	0.3908269985586851	0.9197363012453164	-0.0015462550296501437	0.0059242019972942095	0	0
1.584696e-06	0.41391786723782603	0.9095603834224403	-0.0013434037328015475	0.006159020215627459	0	0
1.645835e-06	0.4381015723353873	0.8981606322113413	-0.0009886048800093752	0.006391423203359105	0	0
1.706563e-06	0.4617768843554005	0.8862003784988778	-0.0012605728473882307	0.006621681697049441	0	0
1.768310e-06	0.48538241924246395	0.87348685736119	-0.00158277370365374	0.006855186892091524	0	0
1.829583e-06	0.5089615680360262	0.8599705110344573	-0.0011029118773536926	0.007086259590457892	0	0
1.890708e-06	0.531674621862758	0.846096022073253	-0.0007697249122519701	0.007316124119939715	0	0
1.951429e-06	0.5550773149989966	0.8309668586836704	-0.0008512972314238857	0.007543799262780535	0	0
2.013156e-06	0.5774901935184339	0.8155338020269314	-0.0011604649795664793	0.007774541499185607	0	0
2.074208e-06	0.599230285400177	0.7997020739773378	-0.0008222996666924263	0.008002045285272309	0	0
2.135894e-06	0.6207112859215561	0.7831268046887401	-0.0012119942676616262	0.008231162214198897	0	0
2.197163e-06	0.6414819866296715	0.7662157775857226	-0.0007380425549429955	0.008457965868935135	0	0
2.257937e-06	0.6616646835295614	0.74888142052696	-0.0014661601728961134	0.008682159975588433	0	0
2.319498e-06	0.6820101185776285	0.7304200190560918	-0.0014084444183327985	0.008908454447222307	0	0
2.381279e-06	0.7014391007645476	0.7117937763520273	-0.0014511144617824715	0.009134721271569295	0	0
2.442275e-06	0.7193083240582911	0.6937660749823586	-0.0009665955624187757	0.009357265174330451	0	0
2.503598e-06	0.7372807120551754	0.6746286385218213	-0.0011737364526769741	0.009580136909684492	0	0
